NO,ID POOLING ORDER,BUSSINES SEGMENT,ORGANIZATION,BOOKING DATE,NO JOB ORDER,NO FO,CUSTOMER NAME,SAT (SERVICE AGREEMENT TYPE),CONSIGNE,SALES PRODUCT,ESTIMATE REQ DLV DATE,PRODUCT,ATTACHMENT,CONTAINER TYPE,QUANTITY,FREIGHT TYPE,TRANSPORT TYPE,PICK UP LOCATION,ADDRESS LOADING POINT,ORIGIN,DROP OF LOCATION,ADDRESS UNLOADING POINT,DESTINATION,COMMERCIAL ROUTE,SQ NUMBER,DATE CONFIRM,CONFIRMED QTY,TOTAL MISSED,REASON MISSED,STATUS POOLING,PIC NAME,UPLOAD DOCUMENT,,
46,SM-D000053,ILS,Tanah Merdeka Petra - Sinarmas,12/07/2026 11:34,SI DO : F1O0000425  - 2332332761,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,13/07/2026 5:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,KOJA,,,Depo BSA & Priok - Pelabuhan Tj Priok - 0 - 0,PTR.SQ.1001288,12/07/2026 11:34,1,,,CONFIRM,M. SANDI PRAWIRA,,,
47,SM-D000054,ILS,Tanah Merdeka Petra - Sinarmas,16/07/2026 14:06,SI DO : F1O0000538 - 862IJP0031192,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,16/07/2026 20:00,CNTD40FT,,40FT,20,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,16/07/2026 14:06,20,,,CONFIRM,M. SANDI PRAWIRA,,,
48,SM-D000055,ILS,Tanah Merdeka Petra - Sinarmas,16/07/2026 17:00,SI DO DN F1O0000655 - 080600464202,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,16/07/2026 20:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,GL Terminal,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,16/07/2026 17:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
49,SM-D000056,ILS,Tanah Merdeka Petra - Sinarmas,17/07/2026 10:00,SI DO : F1O0000551 - 862IJP0031106,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,17/07/2026 20:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,GL Terminal,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,17/07/2026 10:00,1,,,CONFIRM,M. SANDI PRAWIRA,,,
50,SM-D000057,ILS,Tanah Merdeka Petra - Sinarmas,17/07/2026 14:00,SI DO DN F1O0000625 - GOSUJKT8129213,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,18/07/2026 21:00,CNTD40FT,,40FT,20,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,PELINDO/ TERMINAL 3,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,17/07/2026 14:00,20,,,CONFIRM,M. SANDI PRAWIRA,,,
51,SM-D000058,ILS,Tanah Merdeka Petra - Sinarmas,17/07/2026 14:00,SI DO : F1O0000632 - COAU6460998091,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,17/07/2026 20:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,GL Terminal,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,17/07/2026 14:00,3,,,CONFIRM,M. SANDI PRAWIRA,,,
52,SM-D000059,ILS,Tanah Merdeka Petra - Sinarmas,17/07/2026 18:00,SI DO DN F1O0000647 - GOSUJKT8129795,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,18/07/2026 8:00,CNTD40FT,,40FT,5,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,PELINDO/ TERMINAL 3,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,17/07/2026 18:00,5,,,CONFIRM,M. SANDI PRAWIRA,,,
53,SM-D000060,ILS,Tanah Merdeka Petra - Sinarmas,17/07/2026 18:00,SI DO DN F1O0000649 - GOSUJKT8129790,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,17/07/2026 18:00,CNTD40FT,,40FT,4,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,PELINDO/ TERMINAL 3,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,17/07/2026 18:00,4,,,CONFIRM,M. SANDI PRAWIRA,,,
54,SM-D000061,ILS,Tanah Merdeka Petra - Sinarmas,17/07/2026 18:00,TESTING,TESTING,TESTING,TESTING,TESTING,TESTING,17/07/2026 18:00,TESTING,,TESTING,1,TESTING,TESTING,TESTING,,,TESTING,,,TESTING,TESTING,17/07/2026 18:00,1,,,CONFIRM,M. SANDI PRAWIRA,,,
55,SM-D000062,ILS,Tanah Merdeka Petra - Sinarmas,17/07/2026 14:00,SI DO DN F1O0000625 - GOSUJKT8129213,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,18/07/2026 21:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,PELINDO/ TERMINAL 3,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,17/07/2026 14:00,3,,,CONFIRM,M. SANDI PRAWIRA,,,
56,SM-D000063,ILS,Tanah Merdeka Petra - Sinarmas,18/07/2026 15:00,SI DO : F1O0000602 - 2332718720,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,18/07/2026 21:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,18/07/2026 15:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
57,SM-D000064,ILS,Tanah Merdeka Petra - Sinarmas,18/07/2026 15:00,SI DO : F1O0000546 - 2332718611,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,18/07/2026 21:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,18/07/2026 15:00,3,,,CONFIRM,M. SANDI PRAWIRA,,,
58,SM-D000065,ILS,Tanah Merdeka Petra - Sinarmas,19/07/2026 10:00,F1O0000531,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,19/07/2026 13:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,19/07/2026 10:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
59,SM-D000066,ILS,Tanah Merdeka Petra - Sinarmas,19/07/2026 10:00,SI DO : F1O0000533 - COAU6460998700 ,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,19/07/2026 13:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,19/07/2026 10:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
60,SM-D000067,ILS,Tanah Merdeka Petra - Sinarmas,19/07/2026 10:00,SI DO : F1O0000601 - COAU6460998271 ,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,19/07/2026 13:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,19/07/2026 10:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
61,SM-D000068,ILS,Tanah Merdeka Petra - Sinarmas,19/07/2026 10:00,SI DO : F1O0000620 - COAU6460998360,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,19/07/2026 13:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,19/07/2026 10:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
62,SM-D000069,ILS,Tanah Merdeka Petra - Sinarmas,20/07/2026 11:00,SI DO : F1O0000662 - JKTG55277701,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,20/07/2026 15:00,CNTD40FT,,40FT,9,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,20/07/2026 11:00,9,,,CONFIRM,M. SANDI PRAWIRA,,,
63,SM-D000070,ILS,Tanah Merdeka Petra - Sinarmas,20/07/2026 16:30,SI DO : F1O0000538 - 862IJP0031192,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,21/07/2026 10:00,CNTD40FT,,40FT,30,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,KOJA,,,Depo BSA & Priok - Pelabuhan Tj Priok - 0 - 0,PTR.SQ.1001288,20/07/2026 16:30,30,,,CONFIRM,M. SANDI PRAWIRA,,,
64,SM-D000071,ILS,Tanah Merdeka Petra - Sinarmas,21/07/2026 9:23,SI DO : F1O0000527 - 2332719080,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,21/07/2026 10:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,21/07/2026 9:23,2,,,CONFIRM,M. SANDI PRAWIRA,,,
65,SM-D000072,ILS,Tanah Merdeka Petra - Sinarmas,21/07/2026 9:23,SI DO : F1O0000544 - 2332719081 ,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,21/07/2026 10:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,21/07/2026 9:23,2,,,CONFIRM,M. SANDI PRAWIRA,,,
66,SM-D000073,ILS,Tanah Merdeka Petra - Sinarmas,21/07/2026 11:43,SI DO DN F1O0000686 - 080600469122,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,21/07/2026 14:00,CNTD40FT,,40FT,16,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,T300/TMAL ,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,21/07/2026 11:43,16,,,CONFIRM,M. SANDI PRAWIRA,,,
67,SM-D000074,ILS,Tanah Merdeka Petra - Sinarmas,21/07/2026 11:43,SI DO DN F1O0000653 - 080600464822,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,21/07/2026 14:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,T300/TMAL ,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,21/07/2026 11:43,3,,,CONFIRM,M. SANDI PRAWIRA,,,
68,SM-D000075,ILS,Tanah Merdeka Petra - Sinarmas,21/07/2026 15:00,SI DO : F1O0000597 - JKTG55218900,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,21/07/2026 18:00,CNTD40FT,,40FT,11,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,21/07/2026 15:00,11,,,CONFIRM,M. SANDI PRAWIRA,,,
69,SM-D000076,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 15:20,SI DO DN F1O0000723 - 272866263,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,22/07/2026 21:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,NPCT 1,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,22/07/2026 15:20,2,,,CONFIRM,M. SANDI PRAWIRA,,,
70,SM-D000077,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 15:20,SI DO : F1O0000635 - 862IJP0031367,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,22/07/2026 21:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,NPCT 1,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,22/07/2026 15:20,1,,,CONFIRM,M. SANDI PRAWIRA,,,
71,SM-D000078,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 15:20,SI DO DN F1O0000749 - JKTG60294900,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,22/07/2026 21:00,CNTD40FT,,40FT,7,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,22/07/2026 15:20,7,,,CONFIRM,M. SANDI PRAWIRA,,,
72,SM-D000079,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 15:20,SI DO : F1O0000519 - COAU6460998300,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,22/07/2026 21:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,22/07/2026 15:20,3,,,CONFIRM,M. SANDI PRAWIRA,,,
73,SM-D000080,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 15:20,SI DO : F1O0000521 - COAU6460998471,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,22/07/2026 21:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,22/07/2026 15:20,2,,,CONFIRM,M. SANDI PRAWIRA,,,
74,SM-D000081,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 17:30,SI DO : F1O0000675 - 2334109170,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,23/07/2026 10:00,CNTD40FT,,40FT,19,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BPL,,,DEPO PDT,,,Depo Arround Priok - Pancaran Depo  - 0 - 36,PTR.SQ.1001288,22/07/2026 17:30,19,,,CONFIRM,M. SANDI PRAWIRA,,,
75,SM-D000082,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 17:30,SI DO : F1O0000477 - EBKG17506993,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,23/07/2026 10:00,CNTD40FT,,40FT,5,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,22/07/2026 17:30,5,,,CONFIRM,M. SANDI PRAWIRA,,,
76,SM-D000083,ILS,Tanah Merdeka Petra - Sinarmas,22/07/2026 15:20,SI DO DN F1O0000749 - JKTG60294900,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,22/07/2026 21:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,22/07/2026 15:20,1,,,CANCEL,M. SANDI PRAWIRA,,,
77,SM-D000084,ILS,Tanah Merdeka Petra - Sinarmas,23/07/2026 9:30,SI DO : F1O0000561 - 862IJP0033329 ,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,23/07/2026 12:00,CNTD40FT,,40FT,11,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,23/07/2026 9:30,11,,,CONFIRM,M. SANDI PRAWIRA,,,
78,SM-D000085,ILS,Tanah Merdeka Petra - Sinarmas,23/07/2026 10:26,SI DO : F1O0000523 - COAU6460998120,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 8:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,23/07/2026 10:26,2,,,CONFIRM,M. SANDI PRAWIRA,,,
79,SM-D000086,ILS,Tanah Merdeka Petra - Sinarmas,23/07/2026 10:26,SI DO : F1O0000522 - COAU6460998701,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 8:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,23/07/2026 10:26,2,,,CONFIRM,M. SANDI PRAWIRA,,,
80,SM-D000087,ILS,Tanah Merdeka Petra - Sinarmas,23/07/2026 12:26,SI DO DN F1O0000724 - 272698276,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,23/07/2026 12:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,NPCT 1,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,23/07/2026 12:26,3,,,CONFIRM,M. SANDI PRAWIRA,,,
81,SM-D000088,ILS,Tanah Merdeka Petra - Sinarmas,23/07/2026 13:40,SI DO : F1O0000560 - 862IJP0033328,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,23/07/2026 16:00,CNTD40FT,,40FT,10,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,23/07/2026 13:40,10,,,CONFIRM,M. SANDI PRAWIRA,,,
82,SM-D000089,ILS,Tanah Merdeka Petra - Sinarmas,23/07/2026 13:40,SI DO : F1O0000668 - COAU6460998031,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,23/07/2026 13:40,1,,,CONFIRM,M. SANDI PRAWIRA,,,
83,SM-D000090,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07,SI DO : F1O0000606 - 97896571,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,NPCT 1,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,2,,,CONFIRM,M. SANDI PRAWIRA,,,
84,SM-D000091,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07,SI DO : F1O0000589 - JKTG55445400,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,T300/TMAL ,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,2,,,CONFIRM,M. SANDI PRAWIRA,,,
85,SM-D000092,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07,SI DO : F1O0000778 - JKTG55277700,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,1,,,CONFIRM,M. SANDI PRAWIRA,,,
86,SM-D000093,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07,SI DO : F1O0000780 - JKTG55277710,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,2,,,CONFIRM,M. SANDI PRAWIRA,,,
87,SM-D000094,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07,SI DO : F1O0000781 - JKTG55277707,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,2,,,CONFIRM,M. SANDI PRAWIRA,,,
88,SM-D000095,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07,SI DO : F1O0000784 - JKTG55277708,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,2,,,CONFIRM,M. SANDI PRAWIRA,,,
89,SM-D000096,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07,SI DO : F1O0000785 - JKTG55277713,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,2,,,CONFIRM,M. SANDI PRAWIRA,,,
90,SM-D000097,ILS,Tanah Merdeka Petra - Sinarmas,24/07/2026 14:07, SI DO : F1O0000786 - JKTG55277714,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,24/07/2026 16:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,KOJA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,24/07/2026 14:07,2,,,CONFIRM,M. SANDI PRAWIRA,,,
